Episode 277/500, Total Reward: 83, Epsilon: 0.249
Episode 278/500, Total Reward: 84, Epsilon: 0.248
Episode 279/500, Total Reward: 86, Epsilon: 0.247
Episode 280/500, Total Reward: 76, Epsilon: 0.246
Episode 281/500, Total Reward: 73, Epsilon: 0.245
Episode 282/500, Total Reward: 88, Epsilon: 0.243
Episode 283/500, Total Reward: 83, Epsilon: 0.242
Episode 284/500, Total Reward: 86, Epsilon: 0.241
Episode 285/500, Total Reward: 86, Epsilon: 0.240
Episode 286/500, Total Reward: 83, Epsilon: 0.238
Episode 287/500, Total Reward: 86, Epsilon: 0.237
Episode 288/500, Total Reward: 83, Epsilon: 0.236
Episode 289/500, Total Reward: 79, Epsilon: 0.235
Episode 290/500, Total Reward: 81, Epsilon: 0.234
Episode 291/500, Total Reward: 86, Epsilon: 0.233
Episode 292/500, Total Reward: 88, Epsilon: 0.231
Episode 293/500, Total Reward: 85, Epsilon: 0.230
Episode 294/500, Total Reward: 90, Epsilon: 0.229
Episode 295/500, Total Reward: 85, Epsilon: 0.228
Episode 296/500, Total Reward: 83, Epsilon: 0.227
Episode 297/500, Total Reward: 86, Epsilon: 0.226
Episode 298/500, Total Reward: 90, Epsilon: 0.225
Episode 299/500, Total Reward: 90, Epsilon: 0.223
Episode 300/500, Total Reward: 90, Epsilon: 0.222
Episode 301/500, Total Reward: 81, Epsilon: 0.221
Episode 302/500, Total Reward: 88, Epsilon: 0.220
Episode 303/500, Total Reward: 86, Epsilon: 0.219
Episode 304/500, Total Reward: 86, Epsilon: 0.218
Episode 305/500, Total Reward: 84, Epsilon: 0.217
Episode 306/500, Total Reward: 88, Epsilon: 0.216
Episode 307/500, Total Reward: 81, Epsilon: 0.215
Episode 308/500, Total Reward: 85, Epsilon: 0.214
Episode 309/500, Total Reward: 88, Epsilon: 0.212
Episode 310/500, Total Reward: 84, Epsilon: 0.211
Episode 311/500, Total Reward: 86, Epsilon: 0.210
Episode 312/500, Total Reward: 90, Epsilon: 0.209
Episode 313/500, Total Reward: 86, Epsilon: 0.208
Episode 314/500, Total Reward: 87, Epsilon: 0.207
Episode 315/500, Total Reward: 90, Epsilon: 0.206
